"title appears in C-notebook, title written in a letter, is in manuscript",3
"in B-notebook, C-notebook, appears in multiple manuscripts and Finnegans Wake",4
"title in interview, title in multiple letters",2
"in letter",1
"in interview",1
"in manuscript",1
"title in book",1
"title in B-notebook and title C-notebook",3
"multiple words in B-notebook",4
"multiple words in C-notebook",4
"in a manuscript, and an interview",2
"in letter and a B-notebook",3
"title in B-notebook",1
"title in B-notebook, title in C-notebook, and in manuscripts",4
"in multiple manuscripts",3
"in multiple B-notebooks, in C-notebook, and in letter",4
"title in letter, title in manuscript",2
"title in letter, multiple words in B-notebook",4
"in interview, in letter",2
"in letter, in B-notebook and in book",4
"title in B-notebook, title in manuscripts",2
"title in letter, title in interview, title in B-notebook",2
"title in letter, multiple words in B-notebook",4
"title in B-notebook, title in C-notebook",2
"in interview, title in letter",1
"in B-notebook, multiple words in C-notebook, in manuscripts",4
"title in B-notebook, title in manuscript",3
"multiple words in B-notebook",3
"in B-notebook, in manuscripts, in book",4
"title in letter, title in interview",1
"title in letter, multiple words in B-notebook, in manuscript",4
